merchant,flyer_id,name,price,valid_from,valid_to
Costco,7985328,"Mentos, Chewy Mints, Mint, 20 × 37 g",14.99,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
Costco,7985328,"Pepperidge Farm, Goldfish Crackers, 1.64 kg",13.99,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
Costco,7985328,"Mother Earth Vinegar Organic Apple Cider Vinegar, 1.9 L",9.99,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
Costco,7985328,"Twinings Earl Grey Tea, 144-count",12.49,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
Costco,7985328,"Reese's Pieces Milk Chocolate Pieces Bark, 566 g",11.99,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
Costco,7985328,"Creamy Caramels Candy, 240 × 6.7 g",15.99,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
Costco,7985328,"Nestlé Assorted Mini Bars and Candies, 1.3 kg",26.49,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
Costco,7985328,"Airheads White Mystery Candy, 36-count",7.99,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
Costco,7985328,"Finish Quantum Everyday Dishwasher Detergent, 176 Tablets",31.99,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
Costco,7985328,"Trident Sugar-free Spearmint Gum, 12 × 14 pieces",15.99,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
Costco,7985328,"Skittles Sour Candy, 24-Count",29.99,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
Costco,7985328,"Kraft Rancher's Choice Salad Dressing, 3.78 L",25.99,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
Costco,7985328,"Built Puffs Protein Bars, Brownie Batter & Coconut, 14 × 40 g",28.99,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
Costco,7985328,"Kit Kat King Size Chocolate Wafer Bars, 24-count",42.99,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
Costco,7985328,"Schneider's Hot Rod Meat Sticks, 40-count",19.49,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
Costco,7985328,"Mr. Clean Magic Eraser Extra Durable, 18-count",19.99,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
Costco,7985328,"Archer - Grass Fed Beef Sticks, 28 × 14 g",22.49,2026-06-15T00:00:00-04:00,2026-06-21T23:59:59-04:00
