merchant,flyer_id,name,price,valid_from,valid_to
Atlantic Superstore,7980495,"FANCY FEAST CAT FOOD, 12'S",12.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"TIDY CATS LIGHTWEIGHT LITTER, 7.71 K",30.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"WHISKAS WET CAT FOOD, 12'S",17.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"PEDIGREE DOG FOOD, 6.35-8 KG",27.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,AIRPODS PRO 3rd GENERATION,299.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"PC® NUTRITION FIRST® WET CAT FOOD, 85 G",1.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"MILK BONE SOFT & CHEWY DOG TREATS, 708 G",10.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"PURINA ONE DOG FOOD, 6-7 KG",32.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"OLD SPICE BODY WASH 532/709 ML OR DEODORANT, 73-85 G",8.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,GARNIER NUTRISSE HAIR COLOUR,8.5,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"DOVE SHAMPOO, CONDITIONER, 539 ML OR HAIR TREATMENTS",8.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,LIFE AT HOME™ PATIO UMBRELLAS,49.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"LIFE AT HOME™ KITCHEN LINENS, 2'S",5.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"PC® WILD BIRD FOOD, 4 KG",16.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"GOODNITES CLUB PACK TRAINING PANTS, 28-74'S",27.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"PAMPERS SUPER BIG PACK DIAPERS, 32-120'S",27.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"PAMPERS 12X BABY WIPES, 1008'S",25.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"PC® NUTRITION FIRST® CAT FOOD, 4 KG",25.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"FRISKIES LIL' LICKABLES CAT TREATS, 10'S",7.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"PC® NUTRITION FIRST™ DOG FOOD, 7 KG",25.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"MILK BONE BRUSHING CHEWS DOG TREATS, 535-708 G",12.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"FRISKIES CAT FOOD, 24'S",22.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"CESAR DOG FOOD, 12'S",18.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"FRISKIES CAT FOOD, 1.4-1.5 KG",8.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"ENFAGROW A+ TODDLER NUTRITIONAL SUPPLEMENT, 510 G",37.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"NESTLE CERELAC BABY CEREAL, 400 G",9.5,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"HUGGIES GIGA PACK DIAPERS, SIZE N-7, 42-128'S",28.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"SIMILAC PRO-ADVANCE POWDER FORMULA STEP 1 OR 2, 837-859 G",50.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"PC ORGANICS CEREAL PUFFS OR ENTRÉES, 42-185 G",5.5,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"HUGGIES PULL-UPS OR PAMPERS EASY UPS GIANT PACK TRAINING PANTS, 60 - 82 PK.",35.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"NIDO MILK-BASED NUTRITIONAL SUPPLEMENT, 850G",24.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,THAT'S IT ORGANIC FRUIT CRUNCHABLES,7.5,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"DOVE MEN + CARE BODY WASH OR AXE FINE FRAGRANCE BODY WASH, 332 ML",7.5,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,LADY OR MEN'S SPEED STICK PREMIUM DEODORANT 45-85 G OR SKINTIMATE/EDGE SHAVE GEL 198 ML,3.5,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,CHILDREN'S OR INFANTS TYLENOL OR MOTRIN,9.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"BIC DISPOSABLE RAZORS, 2-8'S",7.5,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"CREST PRO HEALTH GUM DETOXIFY TOOTHPASTE 110 ML, ORAL B FLOSS TWIN PACK OR CREST PRO-HEALTH ADVANCED RINSE 1 L",8.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,PC 26 L HARD COOLER,40.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,EVERYDAY ESSENTIALS® CLUB CHAIR,69.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,PC® 30 CAN ZIPPERLESS COOL,35.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,LIFE AT HOME® PERGOLA OR GAZEBO,245.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,EVERYDAY ESSENTIALS™ HIGH BACK CHAIR,24.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,DURACELL BATTERIES AA8 AND AAA4,7.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,LIFE AT HOME™ NOVELTY CUSHIONS,12.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,"EVERYDAY ESSENTIALS® CANDLES, 18 OZ",6.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
Atlantic Superstore,7980495,JOE FRESH,10.0,2026-06-11T00:00:00-04:00,2026-06-17T23:59:59-04:00
