merchant,flyer_id,name,price,valid_from,valid_to
Giant Tiger,7989529,Dr. Oetker Giuseppe Pizzeria frozen pizza,4.94,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,227 g whole white mushrooms,1.88,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Cheetos snacks,3.47,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Doritos snacks,3.47,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Women's tee or tank top,5.0,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Vachon snack cakes,2.67,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Kraft salad dressing,2.97,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Vachon Snack Cakes,2.67,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Gold Label Smokehouse bacon,3.97,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,HEINZ TOMATO KETCHUP,4.97,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Aqua Star wild pacific pink salmon fillets,5.97,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Kraft salad dressing,2.97,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Iceberg lettuce,1.88,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Diana Sauce,2.97,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Women's Tee,5.0,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Women's shorts,5.0,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Giant Value cheese bar,4.87,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Trophy BUTTER TOFFEE PEANUTS,1.97,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Heinz ketchup or Kraft Miracle Whip spread,4.97,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Bulls-Eye BBQ sauce,2.97,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Cavendish Farms frozen crinkle cut fries,2.69,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Larsen wiener,2.97,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,500 g green seedless grapes,2.44,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Boursin cheese,4.47,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Trophy peanuts or mixed nuts,1.97,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Allen's juice,1.47,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Lou's BBQ Texas pork back ribs,6.47,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Roman frozen entrée or Cuisine Adventures soup,6.97,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,Janes frozen breaded chicken,5.97,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
Giant Tiger,7989529,French Onion Soup,6.97,2026-06-24T00:00:00-04:00,2026-06-30T23:59:59-04:00
