merchant,flyer_id,name,price,valid_from,valid_to
Giant Tiger,7972138,Heinz tomato juice,1.47,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,Planters peanut butter,5.47,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,Dr. Oetker frozen pizza,3.47,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,boys swim trunks,7.0,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,Primo canned beans or tomatoes,3.5,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,Tina's Frozen Burrito,1.25,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,Giant Value hot dog or hamburger buns,1.99,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,Giant Tiger Marché frozen entree,6.0,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,Country Harvest bread,3.0,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,Aqua Star BUTTERFLY CRUNCHY SHRIMP,8.97,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,Oîkos yogurt,3.47,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,Dare Breaktime cookies,0.99,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,Women's tank tops,3.0,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,boys swim trunks,7.0,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,High Liner Catch of the Day frozen fish,3.0,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,Cascade dishwasher tabs,4.97,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,La Cocina Tortilla Chips,3.27,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,2 pint glasses with mini bar mat,12.0,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,Kraft Shake'n Bake,2.97,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,PRIMO Red Kidney Beans,3.5,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
Giant Tiger,7972138,Cashmere toilet paper,6.99,2026-06-10T00:00:00-04:00,2026-06-16T23:59:59-04:00
